iter	Passed	Remaining
0	135	135520
1	136	68006
2	136	45469
3	137	34196
4	137	27436
5	138	22923
6	138	19702
7	139	17284
8	139	15407
9	140	13901
10	140	12670
11	141	11644
12	141	10778
13	142	10044
14	143	9402
15	143	8840
16	144	8345
17	144	7910
18	145	7523
19	146	7170
20	146	6849
21	147	6560
22	148	6301
23	149	6065
24	149	5841
25	150	5639
26	151	5445
27	151	5265
28	152	5096
29	152	4939
30	153	4793
31	153	4654
32	154	4524
33	154	4402
34	155	4286
35	155	4176
36	156	4082
37	157	3987
38	158	3896
39	158	3810
40	159	3727
41	160	3650
42	160	3577
43	161	3507
44	162	3440
45	162	3377
46	163	3317
47	164	3257
48	164	3199
49	165	3145
50	166	3093
51	166	3041
52	167	2992
53	168	2943
54	168	2897
55	169	2852
56	169	2808
57	170	2767
58	171	2731
59	172	2696
60	173	2677
61	175	2648
62	175	2614
63	176	2582
64	178	2572
65	179	2545
66	180	2515
67	181	2481
68	181	2451
69	182	2423
70	183	2396
71	183	2370
72	184	2343
73	185	2317
74	185	2293
75	186	2269
76	187	2245
77	187	2220
78	188	2196
79	189	2173
80	189	2152
81	190	2130
82	191	2110
83	191	2090
84	192	2068
85	193	2051
86	193	2031
87	194	2013
88	194	1994
89	195	1976
90	196	1958
91	196	1940
92	197	1923
93	197	1906
94	198	1889
95	198	1873
96	199	1858
97	200	1842
98	200	1828
99	201	1816
100	202	1802
101	202	1785
102	203	1772
103	204	1758
104	204	1744
105	205	1732
106	205	1719
107	206	1706
108	207	1694
109	207	1682
110	208	1670
111	209	1658
112	209	1646
113	210	1634
114	211	1625
115	211	1613
116	212	1602
117	212	1592
118	213	1581
119	214	1570
120	214	1560
121	215	1550
122	215	1538
123	216	1528
124	216	1518
125	217	1509
126	218	1499
127	218	1488
128	219	1479
129	219	1471
130	220	1463
131	221	1454
132	221	1446
133	222	1438
134	223	1430
135	224	1423
136	224	1415
137	225	1406
138	225	1398
139	226	1390
140	226	1382
141	227	1374
142	228	1367
143	228	1360
144	229	1353
145	230	1345
146	230	1337
147	231	1330
148	231	1324
149	232	1317
150	233	1311
151	233	1304
152	234	1298
153	235	1291
154	235	1285
155	236	1279
156	237	1273
157	237	1267
158	238	1264
159	239	1258
160	240	1252
161	240	1245
162	241	1239
163	242	1233
164	242	1227
165	243	1222
166	243	1216
167	244	1210
168	245	1204
169	245	1199
170	246	1196
171	247	1192
172	248	1187
173	249	1182
174	249	1177
175	250	1172
176	251	1168
177	252	1163
178	253	1160
179	253	1156
180	254	1149
181	254	1144
182	255	1139
183	255	1134
